subject,group,condition,trial,channel,time,voltage
co2a0000364,a,S2n,7,FP1,0,2.400427104
co2a0000364,a,S2n,7,FP1,1,2.581384414
co2a0000364,a,S2n,7,FP1,2,0.206996726
co2a0000364,a,S2n,7,FP1,3,-2.462064979
co2a0000364,a,S2n,7,FP1,4,-2.856416485
co2a0000364,a,S2n,7,FP1,5,-0.738158992
co2a0000364,a,S2n,7,FP1,6,1.791474606
co2a0000364,a,S2n,7,FP1,7,2.606643456
co2a0000364,a,S2n,7,FP1,8,1.418523181
co2a0000364,a,S2n,7,FP1,9,-0.522383138
co2a0000364,a,S2n,7,FP1,10,-1.881922527
co2a0000364,a,S2n,7,FP1,11,-2.045645478
co2a0000364,a,S2n,7,FP1,12,-0.989042663
co2a0000364,a,S2n,7,FP1,13,0.842031859
co2a0000364,a,S2n,7,FP1,14,2.379205591
co2a0000364,a,S2n,7,FP1,15,2.317129031
co2a0000364,a,S2n,7,FP1,16,0.308849889
co2a0000364,a,S2n,7,FP1,17,-2.246645295
co2a0000364,a,S2n,7,FP1,18,-3.128669643
co2a0000364,a,S2n,7,FP1,19,-1.373253929
co2a0000364,a,S2n,7,FP1,20,1.622239419
co2a0000364,a,S2n,7,FP1,21,3.274981055
co2a0000364,a,S2n,7,FP1,22,2.18464211
co2a0000364,a,S2n,7,FP1,23,-0.638580762
co2a0000364,a,S2n,7,FP1,24,-2.790615106
co2a0000364,a,S2n,7,FP1,25,-2.615375806
co2a0000364,a,S2n,7,FP1,26,-0.466537044
co2a0000364,a,S2n,7,FP1,27,1.834151571
co2a0000364,a,S2n,7,FP1,28,2.588024321
co2a0000364,a,S2n,7,FP2,0,1.368159589
co2a0000364,a,S2n,7,FP2,1,1.277558303
co2a0000364,a,S2n,7,FP2,2,0.096995769
co2a0000364,a,S2n,7,FP2,3,-0.934906854
co2a0000364,a,S2n,7,FP2,4,-0.969967898
co2a0000364,a,S2n,7,FP2,5,-0.216790688
co2a0000364,a,S2n,7,FP2,6,0.540232727
co2a0000364,a,S2n,7,FP2,7,0.791785215
co2a0000364,a,S2n,7,FP2,8,0.560186083
co2a0000364,a,S2n,7,FP2,9,0.04672151
co2a0000364,a,S2n,7,FP2,10,-0.610795282
co2a0000364,a,S2n,7,FP2,11,-1.141162131
co2a0000364,a,S2n,7,FP2,12,-1.012540506
co2a0000364,a,S2n,7,FP2,13,0.100351225
co2a0000364,a,S2n,7,FP2,14,1.640149986
co2a0000364,a,S2n,7,FP2,15,2.261731804
co2a0000364,a,S2n,7,FP2,16,0.994126402
co2a0000364,a,S2n,7,FP2,17,-1.552623405
co2a0000364,a,S2n,7,FP2,18,-3.333312055
co2a0000364,a,S2n,7,FP2,19,-2.557066359
co2a0000364,a,S2n,7,FP2,20,0.534707434
co2a0000364,a,S2n,7,FP2,21,3.581648681
co2a0000364,a,S2n,7,FP2,22,4.004222453
co2a0000364,a,S2n,7,FP2,23,1.267504544
co2a0000364,a,S2n,7,FP2,24,-2.562633767
co2a0000364,a,S2n,7,FP2,25,-4.515428948
co2a0000364,a,S2n,7,FP2,26,-3.148844459
co2a0000364,a,S2n,7,FP2,27,0.401641323
co2a0000364,a,S2n,7,FP2,28,3.512876198
co2a0000365,a,S2n,5,FP1,0,1.155950994
co2a0000365,a,S2n,5,FP1,1,0.744555988
co2a0000365,a,S2n,5,FP1,2,-0.201732358
co2a0000365,a,S2n,5,FP1,3,-1.143163617
co2a0000365,a,S2n,5,FP1,4,-1.456005276
co2a0000365,a,S2n,5,FP1,5,-0.7672197
co2a0000365,a,S2n,5,FP1,6,0.655611289
co2a0000365,a,S2n,5,FP1,7,1.835390041
co2a0000365,a,S2n,5,FP1,8,1.711243688
co2a0000365,a,S2n,5,FP1,9,0.143530724
co2a0000365,a,S2n,5,FP1,10,-1.699877446
co2a0000365,a,S2n,5,FP1,11,-2.220940873
co2a0000365,a,S2n,5,FP1,12,-0.882192344
co2a0000365,a,S2n,5,FP1,13,1.174499231
co2a0000365,a,S2n,5,FP1,14,2.130654142
co2a0000365,a,S2n,5,FP1,15,1.203162874
co2a0000365,a,S2n,5,FP1,16,-0.63590816
co2a0000365,a,S2n,5,FP1,17,-1.646790357
co2a0000365,a,S2n,5,FP1,18,-1.00754646
co2a0000365,a,S2n,5,FP1,19,0.469055025
co2a0000365,a,S2n,5,FP1,20,1.230502604
co2a0000365,a,S2n,5,FP1,21,0.5462353
co2a0000365,a,S2n,5,FP1,22,-0.795314521
co2a0000365,a,S2n,5,FP1,23,-1.298455474
co2a0000365,a,S2n,5,FP1,24,-0.280950469
co2a0000365,a,S2n,5,FP1,25,1.363285341
co2a0000365,a,S2n,5,FP1,26,1.937236343
co2a0000365,a,S2n,5,FP1,27,0.592940794
co2a0000365,a,S2n,5,FP1,28,-1.689224637
co2a0000365,a,S2n,5,FP2,0,5.018629026
co2a0000365,a,S2n,5,FP2,1,10.28935648
co2a0000365,a,S2n,5,FP2,2,5.875773201
co2a0000365,a,S2n,5,FP2,3,-2.908160919
co2a0000365,a,S2n,5,FP2,4,-7.372217964
co2a0000365,a,S2n,5,FP2,5,-4.737833345
co2a0000365,a,S2n,5,FP2,6,0.507380536
co2a0000365,a,S2n,5,FP2,7,3.128299118
co2a0000365,a,S2n,5,FP2,8,2.507382657
co2a0000365,a,S2n,5,FP2,9,1.221212357
co2a0000365,a,S2n,5,FP2,10,0.622934542
co2a0000365,a,S2n,5,FP2,11,-0.18479308
co2a0000365,a,S2n,5,FP2,12,-1.716363063
co2a0000365,a,S2n,5,FP2,13,-2.596607124
co2a0000365,a,S2n,5,FP2,14,-1.422393825
co2a0000365,a,S2n,5,FP2,15,1.038742765
co2a0000365,a,S2n,5,FP2,16,2.568424683
co2a0000365,a,S2n,5,FP2,17,2.015054869
co2a0000365,a,S2n,5,FP2,18,0.245273925
co2a0000365,a,S2n,5,FP2,19,-1.241840465
co2a0000365,a,S2n,5,FP2,20,-1.769558109
co2a0000365,a,S2n,5,FP2,21,-1.40964391
co2a0000365,a,S2n,5,FP2,22,-0.336437952
co2a0000365,a,S2n,5,FP2,23,1.075240821
co2a0000365,a,S2n,5,FP2,24,1.923350441
co2a0000365,a,S2n,5,FP2,25,1.375326737
co2a0000365,a,S2n,5,FP2,26,-0.271169836
co2a0000365,a,S2n,5,FP2,27,-1.633265549
co2a0000365,a,S2n,5,FP2,28,-1.613976707
