,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
0,13,FP1,0,3.947,a,S2 nomatch,0,co2a0000369,0.0
1,13,FP1,1,4.924,a,S2 nomatch,0,co2a0000369,0.00390625
2,13,FP1,2,4.924,a,S2 nomatch,0,co2a0000369,0.0078125
3,13,FP1,3,4.435,a,S2 nomatch,0,co2a0000369,0.01171875
4,13,FP1,4,3.947,a,S2 nomatch,0,co2a0000369,0.015625
5,13,FP1,5,3.459,a,S2 nomatch,0,co2a0000369,0.01953125
6,13,FP1,6,2.97,a,S2 nomatch,0,co2a0000369,0.0234375
7,13,FP1,7,1.994,a,S2 nomatch,0,co2a0000369,0.02734375
8,13,FP1,8,1.017,a,S2 nomatch,0,co2a0000369,0.03125
9,13,FP1,9,-0.448,a,S2 nomatch,0,co2a0000369,0.03515625
10,13,FP1,10,-0.936,a,S2 nomatch,0,co2a0000369,0.0390625
11,13,FP1,11,-0.936,a,S2 nomatch,0,co2a0000369,0.04296875
12,13,FP1,12,-0.448,a,S2 nomatch,0,co2a0000369,0.046875
13,13,FP1,13,0.041,a,S2 nomatch,0,co2a0000369,0.05078125
14,13,FP1,14,1.017,a,S2 nomatch,0,co2a0000369,0.0546875
15,13,FP1,15,1.994,a,S2 nomatch,0,co2a0000369,0.05859375
16,13,FP1,16,2.97,a,S2 nomatch,0,co2a0000369,0.0625
17,13,FP1,17,3.947,a,S2 nomatch,0,co2a0000369,0.06640625
18,13,FP1,18,3.947,a,S2 nomatch,0,co2a0000369,0.0703125
19,13,FP1,19,3.947,a,S2 nomatch,0,co2a0000369,0.07421875
20,13,FP1,20,4.435,a,S2 nomatch,0,co2a0000369,0.078125
21,13,FP1,21,6.388,a,S2 nomatch,0,co2a0000369,0.08203125
22,13,FP1,22,8.341000000000001,a,S2 nomatch,0,co2a0000369,0.0859375
23,13,FP1,23,10.295,a,S2 nomatch,0,co2a0000369,0.08984375
24,13,FP1,24,10.783,a,S2 nomatch,0,co2a0000369,0.09375
25,13,FP1,25,8.83,a,S2 nomatch,0,co2a0000369,0.09765625
26,13,FP1,26,5.9,a,S2 nomatch,0,co2a0000369,0.1015625
27,13,FP1,27,2.97,a,S2 nomatch,0,co2a0000369,0.10546875
28,13,FP1,28,1.994,a,S2 nomatch,0,co2a0000369,0.109375
29,13,FP1,29,1.994,a,S2 nomatch,0,co2a0000369,0.11328125
30,13,FP1,30,2.97,a,S2 nomatch,0,co2a0000369,0.1171875
31,13,FP1,31,2.97,a,S2 nomatch,0,co2a0000369,0.12109375
32,13,FP1,32,1.506,a,S2 nomatch,0,co2a0000369,0.125
33,13,FP1,33,-0.448,a,S2 nomatch,0,co2a0000369,0.12890625
34,13,FP1,34,-2.401,a,S2 nomatch,0,co2a0000369,0.1328125
35,13,FP1,35,-4.354,a,S2 nomatch,0,co2a0000369,0.13671875
36,13,FP1,36,-4.842,a,S2 nomatch,0,co2a0000369,0.140625
37,13,FP1,37,-4.842,a,S2 nomatch,0,co2a0000369,0.14453125
38,13,FP1,38,-3.866,a,S2 nomatch,0,co2a0000369,0.1484375
39,13,FP1,39,-2.401,a,S2 nomatch,0,co2a0000369,0.15234375
40,13,FP1,40,-0.936,a,S2 nomatch,0,co2a0000369,0.15625
41,13,FP1,41,1.017,a,S2 nomatch,0,co2a0000369,0.16015625
42,13,FP1,42,2.97,a,S2 nomatch,0,co2a0000369,0.1640625
43,13,FP1,43,5.412000000000001,a,S2 nomatch,0,co2a0000369,0.16796875
44,13,FP1,44,8.341000000000001,a,S2 nomatch,0,co2a0000369,0.171875
45,13,FP1,45,11.271,a,S2 nomatch,0,co2a0000369,0.17578125
46,13,FP1,46,13.713,a,S2 nomatch,0,co2a0000369,0.1796875
47,13,FP1,47,15.666,a,S2 nomatch,0,co2a0000369,0.18359375
48,13,FP1,48,15.666,a,S2 nomatch,0,co2a0000369,0.1875
49,13,FP1,49,15.177,a,S2 nomatch,0,co2a0000369,0.19140625
50,13,FP1,50,13.713,a,S2 nomatch,0,co2a0000369,0.1953125
51,13,FP1,51,12.248,a,S2 nomatch,0,co2a0000369,0.19921875
52,13,FP1,52,10.295,a,S2 nomatch,0,co2a0000369,0.203125
53,13,FP1,53,8.341000000000001,a,S2 nomatch,0,co2a0000369,0.20703125
54,13,FP1,54,6.388,a,S2 nomatch,0,co2a0000369,0.2109375
55,13,FP1,55,3.459,a,S2 nomatch,0,co2a0000369,0.21484375
56,13,FP1,56,0.529,a,S2 nomatch,0,co2a0000369,0.21875
57,13,FP1,57,-1.4240000000000002,a,S2 nomatch,0,co2a0000369,0.22265625
58,13,FP1,58,-2.401,a,S2 nomatch,0,co2a0000369,0.2265625
59,13,FP1,59,-2.889,a,S2 nomatch,0,co2a0000369,0.23046875
60,13,FP1,60,-3.866,a,S2 nomatch,0,co2a0000369,0.234375
61,13,FP1,61,-5.33,a,S2 nomatch,0,co2a0000369,0.23828125
62,13,FP1,62,-7.284,a,S2 nomatch,0,co2a0000369,0.2421875
63,13,FP1,63,-8.26,a,S2 nomatch,0,co2a0000369,0.24609375
64,13,FP1,64,-7.284,a,S2 nomatch,0,co2a0000369,0.25
65,13,FP1,65,-3.866,a,S2 nomatch,0,co2a0000369,0.25390625
66,13,FP1,66,0.041,a,S2 nomatch,0,co2a0000369,0.2578125
67,13,FP1,67,3.459,a,S2 nomatch,0,co2a0000369,0.26171875
68,13,FP1,68,5.412000000000001,a,S2 nomatch,0,co2a0000369,0.265625
69,13,FP1,69,5.412000000000001,a,S2 nomatch,0,co2a0000369,0.26953125
70,13,FP1,70,4.924,a,S2 nomatch,0,co2a0000369,0.2734375
71,13,FP1,71,4.924,a,S2 nomatch,0,co2a0000369,0.27734375
72,13,FP1,72,6.388,a,S2 nomatch,0,co2a0000369,0.28125
73,13,FP1,73,8.83,a,S2 nomatch,0,co2a0000369,0.28515625
74,13,FP1,74,10.783,a,S2 nomatch,0,co2a0000369,0.2890625
75,13,FP1,75,10.295,a,S2 nomatch,0,co2a0000369,0.29296875
76,13,FP1,76,6.877000000000002,a,S2 nomatch,0,co2a0000369,0.296875
77,13,FP1,77,1.506,a,S2 nomatch,0,co2a0000369,0.30078125
78,13,FP1,78,-3.377,a,S2 nomatch,0,co2a0000369,0.3046875
79,13,FP1,79,-6.307,a,S2 nomatch,0,co2a0000369,0.30859375
80,13,FP1,80,-6.795,a,S2 nomatch,0,co2a0000369,0.3125
81,13,FP1,81,-7.772,a,S2 nomatch,0,co2a0000369,0.31640625
82,13,FP1,82,-9.725,a,S2 nomatch,0,co2a0000369,0.3203125
83,13,FP1,83,-13.143,a,S2 nomatch,0,co2a0000369,0.32421875
84,13,FP1,84,-15.584,a,S2 nomatch,0,co2a0000369,0.328125
85,13,FP1,85,-16.561,a,S2 nomatch,0,co2a0000369,0.33203125
86,13,FP1,86,-14.608,a,S2 nomatch,0,co2a0000369,0.3359375
87,13,FP1,87,-12.166,a,S2 nomatch,0,co2a0000369,0.33984375
88,13,FP1,88,-10.213,a,S2 nomatch,0,co2a0000369,0.34375
89,13,FP1,89,-10.701,a,S2 nomatch,0,co2a0000369,0.34765625
90,13,FP1,90,-12.166,a,S2 nomatch,0,co2a0000369,0.3515625
91,13,FP1,91,-12.166,a,S2 nomatch,0,co2a0000369,0.35546875
92,13,FP1,92,-10.213,a,S2 nomatch,0,co2a0000369,0.359375
93,13,FP1,93,-7.284,a,S2 nomatch,0,co2a0000369,0.36328125
94,13,FP1,94,-4.354,a,S2 nomatch,0,co2a0000369,0.3671875
95,13,FP1,95,-2.889,a,S2 nomatch,0,co2a0000369,0.37109375
96,13,FP1,96,-3.866,a,S2 nomatch,0,co2a0000369,0.375
97,13,FP1,97,-5.819,a,S2 nomatch,0,co2a0000369,0.37890625
98,13,FP1,98,-6.307,a,S2 nomatch,0,co2a0000369,0.3828125
99,13,FP1,99,-5.819,a,S2 nomatch,0,co2a0000369,0.38671875
100,13,FP1,100,-3.866,a,S2 nomatch,0,co2a0000369,0.390625
101,13,FP1,101,-1.912,a,S2 nomatch,0,co2a0000369,0.39453125
102,13,FP1,102,-0.936,a,S2 nomatch,0,co2a0000369,0.3984375
103,13,FP1,103,-0.936,a,S2 nomatch,0,co2a0000369,0.40234375
104,13,FP1,104,-1.912,a,S2 nomatch,0,co2a0000369,0.40625
105,13,FP1,105,-2.889,a,S2 nomatch,0,co2a0000369,0.41015625
106,13,FP1,106,-3.866,a,S2 nomatch,0,co2a0000369,0.4140625
107,13,FP1,107,-4.842,a,S2 nomatch,0,co2a0000369,0.41796875
108,13,FP1,108,-6.307,a,S2 nomatch,0,co2a0000369,0.421875
109,13,FP1,109,-7.284,a,S2 nomatch,0,co2a0000369,0.42578125
110,13,FP1,110,-7.772,a,S2 nomatch,0,co2a0000369,0.4296875
111,13,FP1,111,-7.284,a,S2 nomatch,0,co2a0000369,0.43359375
112,13,FP1,112,-5.819,a,S2 nomatch,0,co2a0000369,0.4375
113,13,FP1,113,-3.866,a,S2 nomatch,0,co2a0000369,0.44140625
114,13,FP1,114,-2.889,a,S2 nomatch,0,co2a0000369,0.4453125
115,13,FP1,115,-2.401,a,S2 nomatch,0,co2a0000369,0.44921875
116,13,FP1,116,-3.377,a,S2 nomatch,0,co2a0000369,0.453125
117,13,FP1,117,-3.866,a,S2 nomatch,0,co2a0000369,0.45703125
118,13,FP1,118,-4.842,a,S2 nomatch,0,co2a0000369,0.4609375
119,13,FP1,119,-5.819,a,S2 nomatch,0,co2a0000369,0.46484375
120,13,FP1,120,-7.284,a,S2 nomatch,0,co2a0000369,0.46875
121,13,FP1,121,-9.725,a,S2 nomatch,0,co2a0000369,0.47265625
122,13,FP1,122,-12.166,a,S2 nomatch,0,co2a0000369,0.4765625
123,13,FP1,123,-13.630999999999998,a,S2 nomatch,0,co2a0000369,0.48046875
124,13,FP1,124,-13.143,a,S2 nomatch,0,co2a0000369,0.484375
125,13,FP1,125,-10.701,a,S2 nomatch,0,co2a0000369,0.48828125
126,13,FP1,126,-7.284,a,S2 nomatch,0,co2a0000369,0.4921875
127,13,FP1,127,-4.354,a,S2 nomatch,0,co2a0000369,0.49609375
128,13,FP1,128,-2.889,a,S2 nomatch,0,co2a0000369,0.5
129,13,FP1,129,-2.401,a,S2 nomatch,0,co2a0000369,0.50390625
130,13,FP1,130,-2.401,a,S2 nomatch,0,co2a0000369,0.5078125
131,13,FP1,131,-2.401,a,S2 nomatch,0,co2a0000369,0.51171875
132,13,FP1,132,-2.401,a,S2 nomatch,0,co2a0000369,0.515625
133,13,FP1,133,-2.889,a,S2 nomatch,0,co2a0000369,0.51953125
134,13,FP1,134,-3.866,a,S2 nomatch,0,co2a0000369,0.5234375
135,13,FP1,135,-5.819,a,S2 nomatch,0,co2a0000369,0.52734375
136,13,FP1,136,-6.795,a,S2 nomatch,0,co2a0000369,0.53125
137,13,FP1,137,-6.795,a,S2 nomatch,0,co2a0000369,0.53515625
138,13,FP1,138,-5.819,a,S2 nomatch,0,co2a0000369,0.5390625
